Region,ID,FIPS,Latitude,Longitude,LCPx,LCPy,UHII, DegHourDay 
SoCAB_East,5472,6071005100,34.1576,-117.2806,292164.9,-303260.2,39179.8, 215.3 
SoCAB_East,5473,6071005200,34.1445,-117.2817,292118.3,-304688.1,38009.6, 208.8 
SoCAB_East,5474,6071005300,34.1396,-117.2913,291269.8,-305256.4,37572.6, 206.4 
SoCAB_East,5475,6071005400,34.1323,-117.2908,291346.3,-306055.6,37120.1, 204.0 
SoCAB_East,5476,6071005500,34.125,-117.2906,291394.2,-306853.1,36670.5, 201.5 
SoCAB_East,5477,6071005600,34.1173,-117.2922,291284.9,-307696.4,36155.3, 198.7 
SoCAB_East,5478,6071005701,34.1006,-117.2926,291321.9,-309517.4,35090.6, 192.8 
SoCAB_East,5479,6071005800,34.1083,-117.2842,292050.5,-308648.7,35761, 196.5 
SoCAB_East,5480,6071006100,34.1607,-117.26,294018.5,-302848.9,39877.6, 219.1 
SoCAB_East,5481,6071006201,34.1427,-117.2668,293477.7,-304837,38105.3, 209.4 
SoCAB_East,5482,6071006203,34.1457,-117.2514,294861.7,-304451.5,38533.2, 211.7 
SoCAB_East,5483,6071006204,34.1392,-117.2536,294695.1,-305165.3,38060.7, 209.1 
SoCAB_East,5484,6071006301,34.1303,-117.2682,293403.7,-306191.8,37335.7, 205.1 
SoCAB_East,5485,6071006302,34.1269,-117.2541,294702.1,-306514.2,37245.6, 204.6 
SoCAB_East,5486,6071006401,34.1158,-117.2699,293317.6,-307782.8,36403.1, 200.0 
SoCAB_East,5487,6071006402,34.1158,-117.2523,294911.2,-307720.3,36468.9, 200.4 
SoCAB_East,5488,6071006500,34.1033,-117.2662,293709.9,-309127.2,35418.4, 194.6 
SoCAB_East,5489,6071006601,34.0729,-117.3378,287339.2,-312708.7,31461.4, 172.9 
SoCAB_East,5490,6071006603,34.0821,-117.3367,287397.1,-311701.1,31940.5, 175.5 
SoCAB_East,5491,6071006604,34.09,-117.3338,287632.3,-310829.3,32507.3, 178.6 
SoCAB_East,5492,6071006700,34.0833,-117.3219,288735.2,-311516.8,33126, 182.0 
SoCAB_East,5493,6071007000,34.0745,-117.3134,289544.9,-312446.5,33361.3, 183.3 
SoCAB_East,5494,6071007104,34.0311,-117.3016,290805.2,-317140.1,32250.8, 177.2 
SoCAB_East,5495,6071007105,34.0294,-117.2862,292212.3,-317266.3,32859.6, 180.5 
SoCAB_East,5496,6071007106,34.0257,-117.3236,288835.5,-317813.3,31475.1, 172.9 
SoCAB_East,5497,6071007107,34.0385,-117.325,288650.7,-316411.4,31053.9, 170.6 
SoCAB_East,5498,6071007108,34.0555,-117.3075,290165.6,-314498.6,32575.8, 179.0 
SoCAB_East,5499,6071007109,34.0421,-117.3073,290245.5,-315953.9,32075.4, 176.2 
SoCAB_East,5500,6071007110,34.0569,-117.2887,291870.7,-314272,32927.3, 180.9 
SoCAB_East,5501,6071007200,34.0765,-117.2621,294195.3,-312043.7,33850.3, 186.0 
SoCAB_East,5502,6071007302,34.0281,-117.2349,296885.6,-317219.3,34529.2, 189.7 
SoCAB_East,5503,6071007303,34.0557,-117.2682,293732.1,-314328.8,33348, 183.2 
SoCAB_East,5504,6071007305,34.0584,-117.2531,295095.8,-313986.4,33676.9, 185.0 
SoCAB_East,5505,6071007306,34.055,-117.238,296485.1,-314298.9,34027.7, 187.0 
SoCAB_East,5506,6071007403,34.1468,-117.235,296349.9,-304266.4,38966.8, 214.1 
SoCAB_East,5507,6071007404,34.1431,-117.2065,298944.5,-304566.6,39264, 215.7 
SoCAB_East,5508,6071007407,34.1322,-117.2349,296415.6,-305860.8,37862.6, 208.0 
SoCAB_East,5509,6071007408,34.1249,-117.2349,296450.1,-306653.9,37369.9, 205.3 
SoCAB_East,5510,6071007409,34.1249,-117.2109,298630.1,-306570.2,37802.3, 207.7 
SoCAB_East,5511,6071007410,34.1322,-117.2109,298596.3,-305777.5,38294.1, 210.4 
SoCAB_East,5512,6071007601,34.114,-117.2349,296498.2,-307844.3,36537.6, 200.8 
SoCAB_East,5513,6071007603,34.1151,-117.2199,297857.9,-307667.7,36931, 202.9 
SoCAB_East,5514,6071007604,34.1065,-117.1987,299820.9,-308529.3,36647.4, 201.4 
SoCAB_East,5515,6071007800,34.0734,-117.2192,298109.7,-312215.2,34378.6, 188.9 
SoCAB_East,5516,6071007901,34.1309,-117.1694,302366.6,-305759.6,40035.7, 220.0 
SoCAB_East,5517,6071007903,34.1158,-117.1817,301318.3,-307450.3,37710.5, 207.2 
SoCAB_East,5518,6071007904,34.1023,-117.1512,304153.3,-308812.4,38135.3, 209.5 
SoCAB_East,5519,6071008001,34.0817,-117.1893,300785.3,-311196.3,35755.6, 196.5 
SoCAB_East,5520,6071008002,34.0663,-117.1853,301221.3,-312862.8,36364.7, 199.8 
SoCAB_East,5521,6071008100,34.0556,-117.1894,300890.6,-314053,36219, 199.0 
SoCAB_East,5522,6071008200,34.0471,-117.1781,301958,-314937.4,36652.4, 201.4 
SoCAB_East,5523,6071008301,34.0422,-117.2026,299755.9,-315562.4,35427.7, 194.7 
SoCAB_East,5524,6071008302,34.0297,-117.1899,300962.8,-316877.9,36018.9, 197.9 
SoCAB_East,5525,6071008401,34.0769,-117.1563,303798.8,-311598.9,37050.1, 203.6 
SoCAB_East,5526,6071008402,34.0629,-117.1476,304653.7,-313100.9,37337.2, 205.1 
SoCAB_East,5527,6071008403,34.0472,-117.1526,304273.2,-314826.8,37027.4, 203.4 
SoCAB_East,5528,6071008404,34.0592,-117.1651,303081.3,-313567,36994.1, 203.3 
SoCAB_East,5529,6071008500,34.0184,-117.1369,305834.6,-317916.5,36863.4, 202.5 
SoCAB_East,5530,6071008601,34.0627,-117.1302,306235.1,-313049.9,38148.1, 209.6 
SoCAB_East,5531,6071008602,34.0716,-117.0884,309995.6,-311918.8,40871.2, 224.6 
SoCAB_East,5532,6071008703,34.037,-116.986,319459.6,-315289.9,48795.3, 268.1 
SoCAB_East,5533,6071008704,34.0195,-117.0696,311941.9,-317531.5,41940.6, 230.4 
SoCAB_East,5534,6071008705,34.0278,-117.0938,309707,-316718.4,40059.8, 220.1 
SoCAB_East,5535,6071008706,34.0434,-117.0808,310818.1,-314962.8,41252.4, 226.7 
SoCAB_East,5536,6071008708,34.015,-117.0305,315523.2,-317868.5,44771.8, 246.0 
SoCAB_East,5537,6071008709,34.0122,-117.0472,314016.7,-318240.7,43753.3, 240.4 
SoCAB_East,5538,6071008710,34.0258,-117.0492,313769.5,-316769.3,44151.3, 242.6 
SoCAB_East,5539,6071008800,34.0339,-117.0368,314855.9,-315827.9,45063.2, 247.6 
SoCAB_East,5639,6071012200,33.9825,-117.6702,257498.2,-323704.4,20912.2, 114.9 
SoCAB_East,5640,6071012300,34.1389,-117.2197,297767.6,-305074.5,38575.6, 212.0 
SoCAB_East,5641,6071012400,34.0787,-117.2944,291254.2,-311914.9,33791.9, 185.7 
SoCAB_East,5642,6071012500,34.0589,-117.3238,288673.9,-314183.1,31951.4, 175.6 
SoCAB_East,5643,6071012700,34.0491,-117.5558,267639.3,-316065,25916.7, 142.4 
SoCAB_West,1521,6037181000,34.144,-118.2028,208542.1,-307630.6,18044.4, 99.1 
SoCAB_West,1522,6037181300,34.1361,-118.2237,206669.9,-308540.2,15861.4, 87.2 
SoCAB_West,1523,6037181400,34.1367,-118.2089,208012.8,-308437,16793.9, 92.3 
SoCAB_West,1524,6037181500,34.1348,-118.1928,209474.9,-308604.4,17402, 95.6 
SoCAB_West,1525,6037181600,34.1297,-118.2097,207956.3,-309202.5,15887, 87.3 
SoCAB_West,1526,6037183101,34.1224,-118.1818,210514.4,-309926.1,16437.5, 90.3 
